base_text,latitude,longitude,month,Canx,aircraft
LACKLAND AFB,29.384228,-98.581108,8,0.002020202020202,f-35
LACKLAND AFB,29.384228,-98.581108,9,0.0,f-35
LACKLAND AFB,29.384228,-98.581108,10,0.0080645161290322,f-35
LACKLAND AFB,29.384228,-98.581108,11,0.0125,f-35
LACKLAND AFB,29.384228,-98.581108,12,0.0403225806451612,f-35
LANGLEY AFB,37.09681,-76.35369,1,0.0181818181818181,f-35
LANGLEY AFB,37.09681,-76.35369,2,0.0155210643015521,f-35
LANGLEY AFB,37.09681,-76.35369,3,0.0241935483870967,f-35
LANGLEY AFB,37.09681,-76.35369,4,0.0167014613778705,f-35
LANGLEY AFB,37.09681,-76.35369,5,0.016260162601626,f-35
LANGLEY AFB,37.09681,-76.35369,6,0.0270833333333333,f-35
LANGLEY AFB,37.09681,-76.35369,7,0.032258064516129,f-35
LANGLEY AFB,37.09681,-76.35369,8,0.0343434343434343,f-35
LANGLEY AFB,37.09681,-76.35369,9,0.0104384133611691,f-35
LANGLEY AFB,37.09681,-76.35369,10,0.0161290322580645,f-35
LANGLEY AFB,37.09681,-76.35369,11,0.025531914893617,f-35
LANGLEY AFB,37.09681,-76.35369,12,0.0120967741935483,f-35
NELLIS AFB,36.236197,-115.034253,1,0.0,f-35
NELLIS AFB,36.236197,-115.034253,2,0.0044345898004434,f-35
NELLIS AFB,36.236197,-115.034253,3,0.002016129032258,f-35
NELLIS AFB,36.236197,-115.034253,4,0.0104166666666666,f-35
NELLIS AFB,36.236197,-115.034253,5,0.0020283975659229,f-35
NELLIS AFB,36.236197,-115.034253,6,0.0020964360587002,f-35
NELLIS AFB,36.236197,-115.034253,7,0.0,f-35
NELLIS AFB,36.236197,-115.034253,8,0.0,f-35
NELLIS AFB,36.236197,-115.034253,9,0.0084210526315789,f-35
NELLIS AFB,36.236197,-115.034253,10,0.0060483870967741,f-35
NELLIS AFB,36.236197,-115.034253,11,0.0020964360587002,f-35
NELLIS AFB,36.236197,-115.034253,12,0.0040899795501022,f-35
PATRICK SFB,28.25,-80.6166666,1,0.0303643724696356,f-35
PATRICK SFB,28.25,-80.6166666,2,0.0155210643015521,f-35
PATRICK SFB,28.25,-80.6166666,3,0.0060483870967741,f-35
PATRICK SFB,28.25,-80.6166666,4,0.0104166666666666,f-35
PATRICK SFB,28.25,-80.6166666,5,0.0080645161290322,f-35
PATRICK SFB,28.25,-80.6166666,6,0.0020833333333333,f-35
PATRICK SFB,28.25,-80.6166666,7,0.002016129032258,f-35
PATRICK SFB,28.25,-80.6166666,8,0.0040485829959514,f-35
PATRICK SFB,28.25,-80.6166666,9,0.0041928721174004,f-35
PATRICK SFB,28.25,-80.6166666,10,0.0121457489878542,f-35
PATRICK SFB,28.25,-80.6166666,11,0.0041753653444676,f-35
PATRICK SFB,28.25,-80.6166666,12,0.0242914979757085,f-35
PETERSON AFB,38.805805,-104.700778,1,0.034274193548387,f-35
PETERSON AFB,38.805805,-104.700778,2,0.0534521158129175,f-35
PETERSON AFB,38.805805,-104.700778,3,0.0483870967741935,f-35
PETERSON AFB,38.805805,-104.700778,4,0.0520833333333333,f-35
PETERSON AFB,38.805805,-104.700778,5,0.0141129032258064,f-35
PETERSON AFB,38.805805,-104.700778,6,0.00625,f-35
PETERSON AFB,38.805805,-104.700778,7,0.0080645161290322,f-35
PETERSON AFB,38.805805,-104.700778,8,0.0161616161616161,f-35
PETERSON AFB,38.805805,-104.700778,9,0.0187891440501043,f-35
PETERSON AFB,38.805805,-104.700778,10,0.034274193548387,f-35
